time,Real Lower Band,Real Middle Band,Real Upper Band
2018-05-04,2577.1102,2680.9350,2784.7597
2018-05-03,2577.5144,2681.2390,2784.9636
2018-05-02,2579.4212,2682.3292,2785.2371
2018-05-01,2579.9880,2682.5503,2785.1127
2018-04-30,2580.0459,2684.3392,2788.6324
2018-04-27,2577.6082,2687.2380,2796.8677
2018-04-26,2574.8430,2689.8030,2804.7630
2018-04-25,2572.7001,2692.3945,2812.0889
2018-04-24,2570.1875,2695.9633,2821.7392
2018-04-23,2567.3022,2699.9352,2832.5681
2018-04-20,2565.6559,2702.7512,2839.8464
2018-04-19,2564.4587,2705.5412,2846.6236
2018-04-18,2562.8537,2707.9745,2853.0953
2018-04-17,2561.4384,2710.0467,2858.6550
2018-04-16,2560.9753,2711.7785,2862.5817
2018-04-13,2561.6478,2713.7817,2865.9155
2018-04-12,2563.1634,2716.2193,2869.2752
2018-04-11,2564.8881,2718.0932,2871.2983
2018-04-10,2567.6076,2720.4940,2873.3804
2018-04-09,2569.8972,2722.3388,2874.7805
2018-04-06,2574.6960,2724.5900,2874.4840
2018-04-05,2580.3064,2727.0370,2873.7676
2018-04-04,2582.5899,2728.4515,2874.3131
2018-04-03,2585.8306,2730.0925,2874.3544
2018-04-02,2590.8185,2731.9182,2873.0178
2018-03-29,2598.4102,2734.1045,2869.7988
2018-03-28,2601.1253,2735.0202,2868.9150
2018-03-27,2605.5995,2736.1637,2866.7278
2018-03-26,2610.2084,2737.4123,2864.6163
2018-03-23,2611.4579,2737.8135,2864.1691
2018-03-22,2618.1725,2739.3508,2860.5291
2018-03-21,2620.5064,2740.0117,2859.5170
2018-03-20,2619.4181,2739.5557,2859.6932
2018-03-19,2617.9325,2738.9275,2859.9226
2018-03-16,2616.6918,2738.4033,2860.1149
2018-03-15,2615.0930,2737.3725,2859.6520
2018-03-14,2612.9221,2736.1805,2859.4389
2018-03-13,2609.4856,2734.5560,2859.6264
2018-03-12,2606.7108,2732.8483,2858.9858
2018-03-09,2604.2089,2730.8665,2857.5241
2018-03-08,2601.6648,2728.7568,2855.8488
2018-03-07,2598.7112,2727.2990,2855.8868
2018-03-06,2595.1510,2725.8020,2856.4530
2018-03-05,2591.1895,2724.1545,2857.1195
2018-03-02,2587.4794,2722.6317,2857.7840
2018-03-01,2585.1706,2721.7682,2858.3658
2018-02-28,2583.5194,2721.1773,2858.8353
2018-02-27,2581.1403,2720.0732,2859.0061
2018-02-26,2577.2596,2718.1030,2858.9464
2018-02-23,2573.7446,2715.5603,2857.3761
2018-02-22,2568.5972,2713.1290,2857.6608
2018-02-21,2564.1632,2711.4367,2858.7101
2018-02-20,2559.5578,2709.6992,2859.8405
2018-02-16,2554.9684,2707.7453,2860.5223
2018-02-15,2549.2709,2705.2440,2861.2171
2018-02-14,2543.5762,2702.7048,2861.8335
2018-02-13,2538.8950,2700.8217,2862.7484
2018-02-12,2533.8029,2699.1830,2864.5631
2018-02-09,2530.0146,2697.8975,2865.7804
