time,SlowD,SlowK
2018-06-22,39.6134,35.3163
2018-06-21,44.3840,36.4568
2018-06-20,51.8421,47.0670
2018-06-19,55.8740,49.6283
2018-06-18,62.5703,58.8309
2018-06-15,67.9787,59.1628
2018-06-14,78.6584,69.7173
2018-06-13,84.9839,75.0560
2018-06-12,91.3229,91.2018
2018-06-11,91.7041,88.6938
2018-06-08,94.2998,94.0731
2018-06-07,94.6817,92.3454
2018-06-06,91.0764,96.4809
2018-06-05,84.6120,95.2187
2018-06-04,70.1003,81.5295
2018-06-01,58.8652,77.0878
2018-05-31,46.3276,51.6835
2018-05-30,48.1452,47.8243
2018-05-29,51.9314,39.4751
2018-05-25,61.2741,57.1362
2018-05-24,59.6844,59.1831
2018-05-23,57.3208,67.5032
2018-05-22,48.5959,52.3669
2018-05-21,47.9587,52.0922
2018-05-18,51.9566,41.3286
2018-05-17,64.2367,50.4554
2018-05-16,78.1807,64.0857
2018-05-15,88.7493,78.1688
2018-05-14,93.9276,92.2875
2018-05-11,93.3621,95.7914
2018-05-10,89.5423,93.7037
2018-05-09,81.1591,90.5911
2018-05-08,66.0288,84.3321
2018-05-07,50.9909,68.5543
2018-05-04,42.3379,45.2002
2018-05-03,48.4584,39.2182
2018-05-02,57.3245,42.5952
2018-05-01,62.8124,63.5619
2018-04-30,54.2509,65.8163
2018-04-27,39.8152,59.0591
2018-04-26,26.1996,37.8774
2018-04-25,25.1070,22.5090
2018-04-24,36.5939,18.2124
2018-04-23,57.7202,34.5995
2018-04-20,75.2253,56.9697
2018-04-19,82.7990,81.5914
2018-04-18,81.8598,87.1148
2018-04-17,77.1044,79.6907
2018-04-16,76.9397,78.7739
2018-04-13,71.7801,72.8488
2018-04-12,66.1146,79.1966
2018-04-11,59.1815,63.2950
2018-04-10,62.6795,55.8523
2018-04-09,69.4687,58.3971
2018-04-06,67.7454,73.7889
2018-04-05,58.1707,76.2200
2018-04-04,44.1494,53.2274
2018-04-03,37.1514,45.0648
2018-04-02,31.2699,34.1561
2018-03-29,27.2601,32.2334
2018-03-28,22.1471,27.4204
2018-03-27,16.1854,22.1264
2018-03-26,14.8284,16.8944
2018-03-23,16.9193,9.5354
2018-03-22,20.5861,18.0554
2018-03-21,19.4810,23.1671
2018-03-20,18.5357,20.5357
2018-03-19,23.5817,14.7401
2018-03-16,38.9645,20.3314
2018-03-15,59.8331,35.6736
2018-03-14,79.4700,60.8886
2018-03-13,91.6384,82.9370
2018-03-12,93.2077,94.5844
2018-03-09,85.7274,97.3938
2018-03-08,70.3333,87.6449
2018-03-07,51.8734,72.1436
2018-03-06,34.7660,51.2113
2018-03-05,26.8497,32.2653
2018-03-02,34.6743,20.8213
2018-03-01,54.0755,27.4625
2018-02-28,68.0397,55.7392
2018-02-27,67.1291,79.0248
2018-02-26,56.2396,69.3552
2018-02-23,55.3833,53.0073
2018-02-22,65.5477,46.3564
2018-02-21,81.3149,66.7863
2018-02-20,88.4525,83.5004
2018-02-16,85.9519,93.6579
2018-02-15,73.3653,88.1991
2018-02-14,55.1974,75.9986
2018-02-13,38.1219,55.8983
2018-02-12,28.1698,33.6953
2018-02-09,26.1923,24.7722
2018-02-08,23.3536,26.0419
2018-02-07,17.1986,27.7630
2018-02-06,11.8749,16.2559
2018-02-05,11.0166,7.5769
2018-02-02,17.9775,11.7920
2018-02-01,32.6443,13.6810
2018-01-31,54.1688,28.4595
2018-01-30,72.4003,55.7925
2018-01-29,80.9798,78.2544
2018-01-26,84.8388,83.1542
2018-01-25,89.8946,81.5308
2018-01-24,94.1030,89.8315
2018-01-23,94.7808,98.3215
2018-01-22,87.7991,94.1560
2018-01-19,83.7901,91.8648
2018-01-18,81.3190,77.3765
2018-01-17,85.4895,82.1291
2018-01-16,87.0000,84.4514
2018-01-12,87.6020,89.8879
2018-01-11,89.3693,86.6606
2018-01-10,92.5760,86.2574
2018-01-09,95.6944,95.1900
2018-01-08,95.8432,96.2807
2018-01-05,85.5749,95.6125
2018-01-04,72.0264,95.6363
2018-01-03,51.7747,65.4759
2018-01-02,44.2375,54.9671
2017-12-29,37.2116,34.8811
2017-12-28,40.3911,42.8642
2017-12-27,45.2939,33.8894
2017-12-26,56.5482,44.4197
2017-12-22,66.2735,57.5725
2017-12-21,74.1731,67.6525
2017-12-20,74.2570,73.5955
2017-12-19,71.3915,81.2713
2017-12-18,66.0886,67.9041
2017-12-15,73.0826,64.9992
2017-12-14,79.4958,65.3625
2017-12-13,81.9211,88.8860
2017-12-12,69.9228,84.2390
2017-12-11,56.6021,72.6383
2017-12-08,47.6128,52.8910
2017-12-07,48.9653,44.2769
2017-12-06,57.9043,45.6704
2017-12-05,68.6964,56.9485
2017-12-04,78.4709,71.0941
2017-12-01,83.4796,78.0466
2017-11-30,87.8937,86.2720
2017-11-29,88.1364,86.1201
2017-11-28,89.8494,91.2890
2017-11-27,87.8810,87.0002
2017-11-24,85.1330,91.2588
2017-11-22,79.9992,85.3838
2017-11-21,71.0562,78.7562
2017-11-20,61.8190,75.8576
2017-11-17,50.6533,58.5547
2017-11-16,48.3999,51.0447
2017-11-15,50.4900,42.3604
2017-11-14,58.9338,51.7945
2017-11-13,67.2642,57.3152
2017-11-10,77.3249,67.6916
2017-11-09,84.5881,76.7857
2017-11-08,86.8882,87.4973
2017-11-07,83.0246,89.4813
2017-11-06,76.5886,83.6860
2017-11-03,73.4209,75.9064
2017-11-02,75.8139,70.1734
2017-11-01,76.5215,74.1828
2017-10-31,71.9357,83.0855
2017-10-30,61.5755,72.2962
2017-10-27,55.7391,60.4254
2017-10-26,60.6169,52.0048
2017-10-25,70.2734,54.7870
2017-10-24,81.8678,75.0588
2017-10-23,86.4673,80.9744
2017-10-20,89.0825,89.5703
2017-10-19,87.7353,88.8572
2017-10-18,83.3954,88.8201
2017-10-17,80.4598,85.5286
2017-10-16,79.5460,75.8377
2017-10-13,81.7697,80.0131
2017-10-12,81.5013,82.7872
2017-10-11,82.3751,82.5089
2017-10-10,86.1708,79.2078
2017-10-09,92.0115,85.4086
2017-10-06,95.8593,93.8961
2017-10-05,97.6741,96.7299
2017-10-04,97.9085,96.9519
2017-10-03,95.8984,99.3406
2017-10-02,86.7109,97.4331
2017-09-29,72.4453,90.9216
2017-09-28,56.5720,71.7781
2017-09-27,47.6471,54.6362
2017-09-26,50.5543,43.3019
2017-09-25,62.1305,45.0033
2017-09-22,76.2273,63.3579
2017-09-21,84.5933,78.0304
2017-09-20,88.3620,87.2936
2017-09-19,91.7976,88.4557
2017-09-18,94.7600,89.3367
2017-09-15,98.0086,97.6003
2017-09-14,92.2787,97.3430
2017-09-13,81.7018,99.0824
2017-09-12,66.2613,80.4106
2017-09-11,58.4712,65.6124
2017-09-08,59.8169,52.7609
2017-09-07,69.1527,57.0404
2017-09-06,80.9183,69.6494
2017-09-05,85.9924,80.7683
2017-09-01,82.6128,92.3371
2017-08-31,72.8381,84.8718
2017-08-30,64.1643,70.6295
2017-08-29,60.8928,63.0130
2017-08-28,59.3139,58.8504
2017-08-25,54.8294,60.8151
2017-08-24,44.4645,58.2761
2017-08-23,28.1613,45.3969
2017-08-22,23.0976,29.7206
2017-08-21,30.4047,9.3664
2017-08-18,50.3721,30.2059
2017-08-17,55.0668,51.6419
2017-08-16,44.5714,69.2686
2017-08-15,26.9328,44.2898
2017-08-14,20.7187,20.1557
2017-08-11,33.5335,16.3530
2017-08-10,51.2812,25.6474
2017-08-09,67.3871,58.5999
2017-08-08,69.5578,69.5963
2017-08-07,67.3568,73.9650
2017-08-04,63.1775,65.1122
2017-08-03,59.4283,62.9933
2017-08-02,55.9568,61.4271
2017-08-01,56.7604,53.8646
2017-07-31,62.9612,52.5786
2017-07-28,70.4230,63.8380
2017-07-27,74.6414,72.4671
2017-07-26,77.1115,74.9638
2017-07-25,81.8897,76.4933
2017-07-24,87.0558,79.8774
2017-07-21,91.6285,89.2985
2017-07-20,92.1260,91.9915
2017-07-19,92.4441,93.5956
2017-07-18,92.4580,90.7909
2017-07-17,90.5142,92.9457
2017-07-14,84.1603,93.6375
2017-07-13,73.3690,84.9594
2017-07-12,59.4022,73.8839
2017-07-11,50.1628,61.2638
2017-07-10,45.9078,43.0589
2017-07-07,50.9060,46.1658
2017-07-06,50.3454,48.4987
2017-07-05,49.6860,58.0536
2017-07-03,41.4414,44.4839
2017-06-30,38.8880,46.5204
2017-06-29,31.6671,33.3198
2017-06-28,33.0195,36.8238
2017-06-27,33.9351,24.8579
2017-06-26,41.0245,37.3768
2017-06-23,50.7657,39.5705
2017-06-22,60.8391,46.1262
2017-06-21,69.0081,66.6005
2017-06-20,67.4494,69.7906
2017-06-19,67.3662,70.6333
2017-06-16,65.8837,61.9242
2017-06-15,65.0639,69.5411
2017-06-14,59.2137,66.1859
