time,ADX
2018-12-06,14.9048
2018-12-04,14.7427
2018-12-03,14.6683
2018-11-30,14.6957
2018-11-29,14.6476
2018-11-28,14.5844
2018-11-27,14.5008
2018-11-26,14.2866
2018-11-23,14.0506
2018-11-21,13.7500
2018-11-20,13.4670
2018-11-19,13.1761
2018-11-16,12.9424
2018-11-15,12.7461
2018-11-14,12.5208
2018-11-13,12.3118
2018-11-12,12.1399
2018-11-09,11.9750
2018-11-08,11.8695
2018-11-07,11.8104
2018-11-06,11.7504
2018-11-05,11.5561
2018-11-02,11.3279
2018-11-01,11.0959
2018-10-31,10.8238
2018-10-30,10.5349
2018-10-29,10.1098
2018-10-26,9.6774
2018-10-25,9.2694
2018-10-24,8.9084
2018-10-23,8.5414
2018-10-22,8.2253
2018-10-19,7.9965
2018-10-18,7.7828
2018-10-17,7.5656
2018-10-16,7.3911
2018-10-15,7.2047
2018-10-12,6.9158
2018-10-11,6.6215
2018-10-10,6.3221
2018-10-09,6.1500
2018-10-08,6.1715
2018-10-05,6.1786
2018-10-04,6.2035
2018-10-03,6.2651
2018-10-02,6.3156
2018-10-01,6.3891
2018-09-28,6.4637
2018-09-27,6.5633
2018-09-26,6.6693
2018-09-25,6.7770
2018-09-24,6.8701
2018-09-21,6.9652
2018-09-20,7.0242
2018-09-19,7.0992
2018-09-18,7.2067
2018-09-17,7.3130
2018-09-14,7.4044
2018-09-13,7.5212
2018-09-12,7.6361
2018-09-11,7.7225
2018-09-10,7.8049
2018-09-07,7.9106
2018-09-06,8.0104
2018-09-05,8.1194
2018-09-04,8.2528
2018-08-31,8.3774
2018-08-30,8.4884
2018-08-29,8.5929
2018-08-28,8.6918
2018-08-27,8.8208
2018-08-24,8.9645
2018-08-23,9.0714
2018-08-22,9.1627
2018-08-21,9.2599
2018-08-20,9.3702
2018-08-17,9.4513
2018-08-16,9.5243
2018-08-15,9.5866
2018-08-14,9.5969
2018-08-13,9.6569
2018-08-10,9.7178
2018-08-09,9.7921
2018-08-08,9.9230
2018-08-07,10.0585
2018-08-06,10.2023
2018-08-03,10.3263
2018-08-02,10.4237
2018-08-01,10.4991
2018-07-31,10.5949
2018-07-30,10.6968
2018-07-27,10.7946
2018-07-26,10.9142
2018-07-25,11.0905
2018-07-24,11.2698
2018-07-23,11.4143
2018-07-20,11.5150
2018-07-19,11.6270
2018-07-18,11.7409
2018-07-17,11.8685
2018-07-16,11.9929
2018-07-13,12.0923
2018-07-12,12.1933
2018-07-11,12.2852
2018-07-10,12.3509
2018-07-09,12.4453
2018-07-06,12.5188
2018-07-05,12.5508
2018-07-03,12.5254
2018-07-02,12.4968
2018-06-29,12.4472
2018-06-28,12.4280
2018-06-27,12.3666
2018-06-26,12.3162
2018-06-25,12.2915
2018-06-22,12.2663
2018-06-21,12.3335
2018-06-20,12.4018
2018-06-19,12.5066
2018-06-18,12.5926
2018-06-15,12.7054
2018-06-14,12.8285
2018-06-13,12.9807
2018-06-12,13.1355
2018-06-11,13.3004
2018-06-08,13.4705
2018-06-07,13.6230
2018-06-06,13.7780
2018-06-05,13.9217
2018-06-04,14.0302
2018-06-01,14.1340
2018-05-31,14.2161
2018-05-30,14.2718
2018-05-29,14.3312
2018-05-25,14.3555
2018-05-24,14.4395
2018-05-23,14.5250
2018-05-22,14.6153
2018-05-21,14.7264
2018-05-18,14.8453
2018-05-17,14.9302
2018-05-16,15.0198
2018-05-15,15.1032
2018-05-14,15.1715
2018-05-11,15.2756
2018-05-10,15.3649
2018-05-09,15.4437
2018-05-08,15.4788
2018-05-07,15.4679
2018-05-04,15.4699
2018-05-03,15.4486
2018-05-02,15.3618
2018-05-01,15.3231
2018-04-30,15.2728
2018-04-27,15.2526
2018-04-26,15.2473
2018-04-25,15.2402
2018-04-24,15.1732
2018-04-23,15.1112
2018-04-20,15.1035
2018-04-19,15.0994
2018-04-18,15.1251
2018-04-17,15.1826
2018-04-16,15.2334
2018-04-13,15.2350
2018-04-12,15.2248
2018-04-11,15.2266
2018-04-10,15.2035
2018-04-09,15.1800
2018-04-06,15.1341
2018-04-05,15.0875
2018-04-04,15.1246
2018-04-03,15.1214
2018-04-02,15.0595
2018-03-29,14.9965
2018-03-28,15.0092
2018-03-27,14.9707
2018-03-26,14.9357
2018-03-23,14.8739
2018-03-22,14.8037
2018-03-21,14.8099
2018-03-20,14.9220
2018-03-19,15.0069
2018-03-16,15.0931
2018-03-15,15.2736
2018-03-14,15.4571
2018-03-13,15.6487
2018-03-12,15.8683
2018-03-09,16.1278
2018-03-08,16.3729
2018-03-07,16.5350
